Index(20ms),Raw,DC Level,AC Level,AC/DC ratio(%),peaks
414.000000,40017.000000,40138.058824,-121.058824,-0.301606,
415.000000,40035.000000,40138.058824,-103.058824,-0.256761,
416.000000,40056.000000,40138.058824,-82.058824,-0.204441,
417.000000,40053.000000,40138.058824,-85.058824,-0.211916,
418.000000,40040.000000,40138.058824,-98.058824,-0.244304,
419.000000,40079.000000,40138.058824,-59.058824,-0.147139,
420.000000,40072.000000,40138.058824,-66.058824,-0.164579,
421.000000,40076.000000,40138.058824,-62.058824,-0.154613,
422.000000,40053.000000,40138.058824,-85.058824,-0.211916,
423.000000,40070.000000,40138.058824,-68.058824,-0.169562,
424.000000,40085.000000,40138.058824,-53.058824,-0.132191,
425.000000,40087.000000,40138.058824,-51.058824,-0.127208,
426.000000,40094.000000,40138.058824,-44.058824,-0.109768,
427.000000,40098.000000,40138.058824,-40.058824,-0.099803,
428.000000,40127.000000,40138.058824,-11.058824,-0.027552,
429.000000,40129.000000,40138.058824,-9.058824,-0.022569,
430.000000,40143.000000,40138.058824,4.941176,0.012310,
431.000000,40134.000000,40138.058824,-4.058824,-0.010112,
432.000000,40131.000000,40138.058824,-7.058824,-0.017586,
433.000000,40104.000000,40138.058824,-34.058824,-0.084854,
434.000000,40104.000000,40138.058824,-34.058824,-0.084854,
435.000000,40107.000000,40138.058824,-31.058824,-0.077380,
436.000000,40095.000000,40138.058824,-43.058824,-0.107277,
437.000000,40119.000000,40138.058824,-19.058824,-0.047483,
438.000000,40123.000000,40138.058824,-15.058824,-0.037518,
439.000000,40128.000000,40138.058824,-10.058824,-0.025061,
440.000000,40146.000000,40138.058824,7.941176,0.019785,
441.000000,40149.000000,40138.058824,10.941176,0.027259,
442.000000,40183.000000,40138.058824,44.941176,0.111966,
443.000000,40194.000000,40138.058824,55.941176,0.139372,
444.000000,40200.000000,40138.058824,61.941176,0.154320,
445.000000,40197.000000,40138.058824,58.941176,0.146846,
446.000000,40208.000000,40138.058824,69.941176,0.174252,
447.000000,40200.000000,40138.058824,61.941176,0.154320,
448.000000,40211.000000,40138.058824,72.941176,0.181726,
449.000000,40219.000000,40138.058824,80.941176,0.201657,
450.000000,40218.000000,40138.058824,79.941176,0.199166,
451.000000,40257.000000,40138.058824,118.941176,0.296330,
452.000000,40245.000000,40138.058824,106.941176,0.266433,
453.000000,40260.000000,40138.058824,121.941176,0.303804,
454.000000,40285.000000,40138.058824,146.941176,0.366089,
455.000000,40279.000000,40138.058824,140.941176,0.351141,
456.000000,40303.000000,40138.058824,164.941176,0.410935,352.000000,local max, 15
457.000000,40274.000000,40138.058824,135.941176,0.338684,
458.000000,40270.000000,40138.058824,131.941176,0.328718,
459.000000,40252.000000,40138.058824,113.941176,0.283873,
460.000000,40246.000000,40138.058824,107.941176,0.268925,
461.000000,40223.000000,40364.625000,-141.625000,-0.350864,80.000000,local min,16
462.000000,40256.000000,40364.625000,-108.625000,-0.269109,
463.000000,40239.000000,40364.625000,-125.625000,-0.311225,
464.000000,40248.000000,40364.625000,-116.625000,-0.288929,
465.000000,40278.000000,40364.625000,-86.625000,-0.214606,
